ID,Description,File Name,Copyright,License List,URI DaSCH,Authorship,Authorship Resource,Time Stamp,File Size
AR_001,Archive from Project daschland-scripts spreadsheets,Spreadsheet_Data.zip,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",,0.3
AR_002,Archive of the files used to create the project documentation. ,Documentation_Source.zip,DaSCH,CC BY 4.0,,Noémi Villars-Amberg,Noémi Villars-Amberg,,4.9
